time_sec,theta_kalman,theta_dot_kalman,theta_ddot_kalman,x_pivot_m
11.005963,0.2548195597767448,-0.7293478311990437,-1.2231455723928795,0.182468
11.03097,0.2339023640466519,-0.9255646378015651,-1.101373099120438,0.182468
11.055971,0.20869422174030355,-1.1069791206730153,-0.9528178586523284,0.182468
11.080978,0.17584616167052022,-1.2493558439126229,-0.7814274525684808,0.182468
11.105978,0.13537351245515258,-1.321194757083938,-0.5957226111236653,0.182468
11.13099,0.09359189734655897,-1.3254669856939243,-0.4065400428383943,0.182468
11.155991,0.05708543429560908,-1.3022923915269762,-0.22106214274008718,0.182468
11.180997,0.02669005238275721,-1.2930745796439267,-0.039629359236076134,0.182468
11.206,-0.008718465447199756,-1.257859060535184,0.13752310821962332,0.182468
11.231004,-0.032053838533894444,-1.2808303467552045,0.31385477896717306,0.182468
11.256012,-0.0483375860699302,-1.4192232011851003,0.504683992010249,0.182468
11.281017,-0.10268494061760763,-1.4110105748718156,0.7081693677524901,0.182468
11.306028,-0.1699405825170967,-1.156316814661383,0.8921517010791415,0.182468
11.331033,-0.19200835167639158,-0.9480924595101705,1.0406624748918505,0.182468
11.356041,-0.20504443232642328,-0.8154942968006298,1.1646520968673244,0.182468
11.38105,-0.23478791666786658,-0.6074165057093678,1.264708763486673,0.182468
11.406052,-0.2575985122954657,-0.33701516407469845,1.3297398741325448,0.182468
11.43106,-0.2673771461598015,-0.05202702291413597,1.3536390827174039,0.182468
11.456064,-0.26430578125839477,0.203707904108703,1.337825313467763,0.182468
11.481067,-0.25495164096473727,0.4303341741917559,1.2872140815055433,0.182468
11.506074,-0.24024611759985973,0.6295358414120285,1.2064099546043858,0.182468
11.531077,-0.21712324051871426,0.774664372517338,1.101975469890633,0.182468
11.556082,-0.20174144289049564,0.9509538257034384,0.9754422165811727,0.182468
11.581085,-0.17778441778516316,1.1262994256510424,0.8237858951104995,0.182468
11.606085,-0.13806061597195002,1.2139564729089705,0.6538576806365439,0.182468
11.631088,-0.10860887456226143,1.307324556134745,0.47185848051603685,0.182468
11.656093,-0.06977459405787459,1.3525482984847728,0.2806060521622076,0.182468
11.6811,-0.058893073278373995,1.5686901980186838,0.06900692567700162,0.182468
11.706107,0.01382476881835613,1.5287381437849497,-0.15664130116227248,0.182468
11.731115,0.05741134953059798,1.4442530258866206,-0.3720304735398017,0.182468
11.756118,0.09329011421054113,1.3571319189242912,-0.574133676001817,0.182468
11.781121,0.1299991593120088,1.2443828113442585,-0.7614609730978943,0.182468
11.806125,0.16937419879163645,1.0643452922110948,-0.9270367181346995,0.182468
11.831129,0.19482713298015777,0.888092672179327,-1.066276751263227,0.182468
11.856133,0.2259800234159817,0.6393739866137957,-1.1740607155274945,0.182468
11.881133,0.24055081445214965,0.39667515873637227,-1.2453337028693934,0.182468
11.906137,0.2489860741298786,0.1609297156038325,-1.2815629974381384,0.182468
11.931144,0.2527384861898822,-0.07653268247356493,-1.283415295626114,0.182468
11.956144,0.24975459607233128,-0.3091318671485541,-1.2512351497671395,0.182468
11.981152,0.23981978245388075,-0.5276686267391384,-1.1865469321641804,0.182468
12.006155,0.2219934275863467,-0.7131242519790032,-1.0931027762295722,0.182468
12.031158,0.19803158620036446,-0.853478524301056,-0.977130500413345,0.182468
12.056166,0.18164215187197777,-1.0317834151431335,-0.8387877049315193,0.182468
12.081173,0.1476675636305489,-1.1482224813728354,-0.6795441777656999,0.182468
12.106177,0.11286649785428007,-1.2177921412243629,-0.5078973714752064,0.182468
12.131184,0.07598111258536948,-1.2372567590539392,-0.33128724900689344,0.182468
12.156188,0.04128374673828268,-1.2262987187698813,-0.15573666301282074,0.182468
12.181195,0.0026121424780192228,-1.152419148600215,0.011664070757604783,0.182468
12.206199,-0.0069631320188670714,-1.2211603752910798,0.17832905399652788,0.182468
12.231199,-0.020262144412612752,-1.4170879898862097,0.36760974432087234,0.182468
12.256202,-0.09696246446926199,-1.2975196465674648,0.5644531921987745,0.182468
12.28121,-0.1310753976443165,-1.1607511674400808,0.7417515792095886,0.182468
12.306214,-0.17230789954724332,-0.9270559121301051,0.8907167086938554,0.182468
12.331221,-0.1980495059864127,-0.6693572478944141,1.0018881870274399,0.182468
12.356225,-0.203364898631897,-0.49362251256684864,1.080680521356292,0.182468
12.381229,-0.2077772624918318,-0.37387431224410306,1.139073632125276,0.182468
12.406232,-0.22700113466012586,-0.1758255890652234,1.175484586146758,0.182468
12.431235,-0.23125304298445315,0.02463053049897257,1.1833397640985805,0.182468
12.456238,-0.22880095657423055,0.21428014782792737,1.1634376704527458,0.182468
12.481245,-0.22323964774213265,0.4049620396153396,1.1165732158983372,0.182468
12.506248,-0.21424452116003465,0.606214822003936,1.0416314211407187,0.182468
12.531256,-0.2011192875100907,0.8242327382732046,0.9360604973595414,0.182468
12.55626,-0.16851902368343966,0.9523475379651385,0.8056175697087107,0.182468
12.581269,-0.14550907829346124,1.086432588251208,0.6568485046883805,0.182468
12.606269,-0.1074408919646141,1.1374255355576963,0.4956362131217169,0.182468
12.631272,-0.07390518854812045,1.1485638887481793,0.3316447487651608,0.182468
12.65628,-0.046357011158281794,1.1667325701543692,0.16694184040100613,0.182468
12.681283,-0.042920762210556025,1.377113589931586,-0.015889997993054017,0.182468
12.706291,0.024176828458782607,1.3379378440877299,-0.2127722055900816,0.182468
12.731294,0.06397088797081732,1.2471762792407879,-0.3992317656401698,0.182468
12.756301,0.09506220263746032,1.1531211333016596,-0.5714726855365573,0.182468
12.781306,0.12751656405627787,1.0275320566499238,-0.7273298911789876,0.182468
12.806313,0.16181118792810717,0.8326597516602278,-0.8590349923179432,0.182468
12.831316,0.17992494668456807,0.6539598489396156,-0.9627380185135737,0.182468
12.85632,0.19224756004203647,0.5016453433238446,-1.0425084355166945,0.182468
12.881324,0.2104428730866272,0.302795401023889,-1.0970427584299023,0.182468
12.906331,0.21973745098666903,0.08732796415610189,-1.1213242725575518,0.182468
12.931335,0.21910181303547738,-0.11002439733465263,-1.1156452401146333,0.182468
12.956342,0.213829816586396,-0.29100833081021305,-1.0829392439096863,0.182468
12.981345,0.2056139722136285,-0.46705131587536824,-1.0249137002663964,0.182468
13.006349,0.1905993457281527,-0.6195037028290791,-0.9437715688453595,0.182468
13.03136,0.1666210128640444,-0.7088753645696109,-0.8464932324279701,0.182468
13.05636,0.14973617011167906,-0.805109226872046,-0.7374201542102381,0.182468
13.081364,0.1332959230664038,-0.9293095627819308,-0.6131929969281649,0.182468
13.106371,0.11429581903951862,-1.0850838237370326,-0.4683213663596706,0.182468
13.131378,0.07550329039322741,-1.1516845320721298,-0.30707100726469516,0.182468
13.156382,0.05369350116802061,-1.2692663880458952,-0.1320005338794359,0.182468
13.181386,0.004835610809982534,-1.2551086021928095,0.05082260471401545,0.182468
13.206393,-0.026179083993511452,-1.2406706415960251,0.2310740863325833,0.182468
13.231397,-0.05750034905581924,-1.220523678314148,0.40901853965746193,0.182468
13.256397,-0.07959752700825076,-1.2601453002551868,0.589950294386111,0.182468
13.281401,-0.14638769983687416,-1.0289577481516807,0.7569147348160112,0.182468
13.306408,-0.179682474686224,-0.7359603570959967,0.8827297221493877,0.182468
13.331412,-0.1892970730252574,-0.50503599094127,0.9680360983390757,0.182468
13.356419,-0.19215457633094202,-0.3441199923186258,1.024365894826088,0.182468
13.381423,-0.19833062026294287,-0.19813243626559185,1.0591473566203407,0.182468
13.40643,-0.20687728581632472,-0.02185786627212849,1.0712839604742421,0.182468
13.431434,-0.2078984422907933,0.16084386868137035,1.0577933679377693,0.182468
13.456441,-0.2037691635086713,0.34513994693921324,1.0179994564322161,0.182468
13.481444,-0.19291179667110933,0.5145033881011867,0.952909125355346,0.182468
13.506452,-0.17987503341004918,0.6838920121013824,0.863551927343185,0.182468
13.531452,-0.16173268151956607,0.8461321421187914,0.7501993307366039,0.182468
13.556459,-0.14044116472082568,1.0074183945530746,0.6131029821742724,0.182468
13.581463,-0.11390241905551139,1.157864913677186,0.45272345068368924,0.182468
