time_sec,theta_kalman,theta_dot_kalman,x_pivot_m
2.747282,0.11821128872117077,0.028683127812004452,0.071456
2.772286,0.1425124071043501,0.024989843423818617,0.071456
2.79729,0.1657976151705591,0.020727479097814,0.071456
2.822293,0.18385922614458827,0.016024544802760526,0.071456
2.847297,0.20064886121938022,0.010910021402627645,0.071456
2.8723,0.2102185739986666,0.005562022132257649,0.071456
2.897308,0.21543765401745824,8.644622543022007e-05,0.071456
2.922315,0.21307970172958088,-0.0053298514711599965,0.071456
2.947323,0.20492748684055445,-0.010544755777708137,0.071456
2.97233,0.19239345462310922,-0.01545150024910466,0.071456
2.99733,0.17508739513517524,-0.0199333233042705,0.071456
3.022337,0.1495587690481332,-0.023786529587369876,0.071456
3.047345,0.12020018189029485,-0.026917354373729885,0.071456
3.072352,0.08617809420419306,-0.029210641576927612,0.071456
3.097352,0.06413601228821941,-0.03096873456601705,0.071456
3.122363,0.04608463638471964,-0.03229297527149516,0.071456
3.147366,0.007079667961389549,-0.03265791668365067,0.071456
3.172367,-0.029515929723700866,-0.032124304154386746,0.071456
3.197374,-0.06550650893523183,-0.030706997047945772,0.071456
3.222374,-0.10445370896612496,-0.028330841090215345,0.071456
3.247378,-0.13812886290690998,-0.02512675302239907,0.071456
3.272381,-0.17197549571691056,-0.021088404609496708,0.071456
3.297388,-0.18275401704466307,-0.016792640153578564,0.071456
3.322396,-0.1882324518580948,-0.01236986970521553,0.071456
3.347403,-0.19373567145434673,-0.007816680685653749,0.071456
3.372403,-0.1970702876964296,-0.0031846686317250905,0.071456
3.397407,-0.1983619353883101,0.001477776160118377,0.071456
3.422415,-0.19442269501113843,0.006042212984386647,0.071456
3.447418,-0.18718246242035444,0.010428611674523414,0.071456
3.472421,-0.17559489439734208,0.014530549196157039,0.071456
3.497426,-0.16023698501732717,0.018255915177543436,0.071456
3.522432,-0.14190351289804048,0.021532323803410303,0.071456
3.547437,-0.11935216851080788,0.024255903481645774,0.071456
3.57244,-0.09335849508017965,0.026341912858888067,0.071456
3.597447,-0.06371317330068421,0.02769995099233888,0.071456
3.622447,-0.033139807354301214,0.028307565302374563,0.071456
3.647451,-0.0022212760619570587,0.028156469727752514,0.071456
3.672454,0.028457382889832475,0.027252593721715474,0.071456
3.697462,0.05774899470278494,0.02563020494928266,0.071456
3.722469,0.08571675505927384,0.023321530548488623,0.071456
3.747477,0.10849365271958125,0.020455490782260416,0.071456
3.77248,0.1290335306519589,0.0170864638969995,0.071456
3.797481,0.14589255681581473,0.013304774943754677,0.071456
