time_sec,theta_kalman,theta_dot_kalman,newPosition
3.096316,-0.18985263169672748,-0.020181419229344993,58
3.121324,-0.20181460207502996,-0.015053117750018413,58
3.146331,-0.20754781808898648,-0.009790177077913381,58
3.171338,-0.2067700388927802,-0.004552982465038824,58
3.196345,-0.19774556927766174,0.00045442220329441896,58
3.221353,-0.18794092546721708,0.005215586001300121,58
3.246364,-0.18015591534696027,0.009784300751499858,58
3.271364,-0.17057384066138323,0.014118269466379701,58
3.296371,-0.15561799427270537,0.018085113948921677,58
3.321378,-0.13575877102251863,0.02156405151576149,58
3.346386,-0.11058303498099106,0.0244236031198303,58
3.371393,-0.08385502642482023,0.02662654625982641,58
3.396401,-0.047231913925154884,0.02792547098697805,58
3.421408,-0.012426085543028612,0.028366892339063872,58
3.446408,0.022795725768478645,0.027940629908928045,58
3.471415,0.05437632277256399,0.026737968971733746,58
3.496419,0.0864910700068294,0.02474471849466154,58
3.521426,0.11584563972129101,0.022029020261778512,58
3.546433,0.14260025780453292,0.01865453058690833,58
3.571437,0.16564357167638033,0.014712433153750981,58
3.596441,0.18423384103853593,0.010312203125363323,58
3.621444,0.1972286594648924,0.005591750714111915,58
3.646448,0.20698417292602309,0.0006295406979820173,58
3.671451,0.21077717107170488,-0.004427642532320253,58
3.696456,0.208949367889204,-0.009441666693757372,58
3.721459,0.2024918248453519,-0.014299291487126192,58
3.746463,0.18894653729798927,-0.018825373614782148,58
3.771466,0.1714304077045209,-0.02292293163018419,58
3.79647,0.15130164357875336,-0.02652886396222262,58
3.821478,0.12840976113691993,-0.02957597445596863,58
3.846481,0.10239801372324922,-0.03198774361189885,58
3.871489,0.07093307490401332,-0.033628581045949374,58
3.896493,0.038543386166227614,-0.0344762722002688,58
3.9215,0.007653613299425953,-0.034569066919218024,58
3.946506,-0.0253461622160644,-0.03385396991957554,58
3.971507,-0.059954365915412484,-0.0322900867500618,58
3.996514,-0.0976410480281277,-0.02979902336504832,58
4.021522,-0.1192050285954234,-0.02678459439980152,58
4.046529,-0.14331966053953088,-0.02318076043593971,58
4.071536,-0.1640148701393741,-0.019071221077030298,58
4.096543,-0.176562009019619,-0.014658253440835906,58
4.121547,-0.1852050832991002,-0.010037231433880578,58
4.146547,-0.19080951406654237,-0.00528163726050368,58
4.171554,-0.190122661867333,-0.0005466524790396499,58
4.196562,-0.18702363338420808,0.004110064660808127,58
4.221569,-0.18001270256231033,0.008593097284012668,58
4.246577,-0.16785767713549254,0.012775936440691749,58
4.271584,-0.15110535090174265,0.016545631986638276,58
4.296584,-0.1313461286224817,0.019828961749341567,58
4.321591,-0.11046776631820271,0.022599861841519436,58
4.346599,-0.08786720607694058,0.024816781106134472,58
4.371606,-0.06654293420609389,0.026513212148888604,58
4.396606,-0.039524658903000456,0.02754705735082892,58
4.421613,-0.00611289546210933,0.027758212333963014,58
4.446617,0.02461044064991104,0.027214408467205152,58
4.471624,0.05378192966221723,0.025954321621353305,58
4.496628,0.0801414254125011,0.024047859958574253,58
4.521635,0.10559653161375213,0.021516558161748106,58
4.546639,0.12830415212495833,0.018427898723554326,58
4.571646,0.14901233573183098,0.014830202808959553,58
4.59665,0.16487366132228695,0.010843065374084443,58
4.621657,0.17578565653254608,0.006588411728867122,58
4.646661,0.18287392985479298,0.0021596957305593245,58
4.671668,0.18454320339094993,-0.002309627109265716,58
4.696672,0.18113601468319357,-0.006694739722580972,58
4.721679,0.17306881024044923,-0.010881242941419261,58
4.746683,0.1604366862970807,-0.01475700313430603,58
4.77169,0.14471782420534404,-0.018246857633630764,58
4.796694,0.12482626887826637,-0.02124809451672502,58
4.821701,0.10216176393638705,-0.02369288812865361,58
4.846705,0.07738299774830137,-0.025529623092838988,58
4.871712,0.053315356664231095,-0.026777341177378636,58
4.896716,0.02833755223506256,-0.027413946050913088,58
4.921723,-0.0015851187164539829,-0.027315506363204914,58
4.946731,-0.028553782445370702,-0.026556235496995803,58
4.971738,-0.05577293741162909,-0.02512935506788163,58
4.996738,-0.08141390073129856,-0.023073645054260662,58
5.021745,-0.10269261535771196,-0.020497490262507898,58
5.046753,-0.12321674697478069,-0.017418235242206995,58
