xAccl,yAccl,zAccl,newPosition,time,pcTime
-317,-10,997,0,12472234,12567.378282546997
-317,-10,997,0,12497238,12591.495275497437
-317,-10,997,0,12522245,12617.368221282959
-317,-10,997,0,12547247,12642.316102981567
-317,-10,997,0,12572251,12667.288064956665
-317,-10,997,0,12597254,12692.325115203857
-317,-10,997,0,12622258,12717.273235321045
-317,-10,997,0,12647263,12742.336988449097
-317,-10,997,0,12672269,12767.27819442749
-317,-10,997,0,12697272,12792.330980300903
-317,-10,997,0,12722278,12817.24214553833
-317,-10,997,0,12747278,12842.2691822052
-317,-10,997,0,12772282,12867.24305152893
-317,-10,997,0,12797289,12892.422199249268
-317,-10,997,0,12822293,12917.32406616211
-317,-10,997,0,12847299,12942.392110824585
-317,-10,997,0,12872303,12967.34619140625
-317,-10,997,0,12897307,12992.387056350708
-317,-10,997,0,12922310,13017.229080200195
-317,-10,997,0,12947314,13042.280197143555
-317,-10,997,0,12972317,13067.275047302246
-317,-10,997,0,12997321,13092.406034469604
-317,-10,997,0,13022325,13117.228031158447
-317,-10,997,0,13047328,13142.152309417725
-317,-10,997,0,13072332,13167.174100875854
-317,-10,997,0,13097336,13192.180395126343
-317,-10,997,0,13122339,13217.235326766968
-317,-10,997,0,13147343,13242.286205291748
-317,-10,997,0,13172347,13267.231941223145
-317,-10,997,0,13197350,13292.226076126099
-317,-10,997,0,13222354,13317.259073257446
-317,-10,997,0,13247358,13342.217922210693
-317,-10,997,0,13272364,13367.391347885132
-317,-10,997,0,13297369,13392.280101776123
-317,-10,997,0,13322373,13417.348146438599
-317,-10,997,0,13347380,13442.447185516357
-317,-10,997,0,13372383,13467.334270477295
-317,-10,997,0,13397387,13492.452144622803
-317,-10,997,0,13422391,13517.389059066772
-317,-10,997,0,13447392,13542.396306991577
-317,-10,997,0,13472395,13567.352056503296
-317,-10,997,0,13497402,13592.353105545044
-317,-10,997,0,13522405,13617.284059524536
-317,-10,997,0,13547406,13642.406225204468
-317,-10,997,0,13572410,13667.370080947876
-317,-10,997,0,13597417,13692.365169525146
-317,-10,997,0,13622420,13717.364311218262
-317,-10,997,0,13647424,13742.409229278564
-317,-10,997,0,13672427,13767.284393310547
-317,-10,997,0,13697431,13792.43016242981
-317,-10,997,0,13722435,13817.27910041809
-317,-10,997,0,13747438,13842.379093170166
-317,-10,997,0,13772442,13867.383003234863
-317,-10,997,0,13797446,13892.410278320312
-317,-10,997,0,13822449,13917.328119277954
-317,-10,997,0,13847453,13942.349195480347
-317,-10,997,0,13872457,13967.296123504639
-317,-10,997,0,13897460,13992.355108261108
-317,-10,997,0,13922464,14017.316102981567
-317,-10,997,0,13947468,14042.440176010132
-317,-10,997,0,13972471,14067.317962646484
-317,-10,997,0,13997475,14092.37027168274
-317,-10,997,0,14022479,14117.396354675293
-317,-10,997,0,14047483,14142.351150512695
-317,-10,997,0,14072486,14167.355298995972
-317,-10,997,0,14097490,14192.351341247559
-317,-10,997,0,14122493,14217.350244522095
-317,-10,997,0,14147497,14242.351055145264
-317,-10,997,0,14172501,14267.417192459106
-317,-10,997,0,14197502,14292.27900505066
-317,-10,997,0,14222505,14317.321300506592
-317,-10,997,0,14247512,14342.331171035767
-317,-10,997,0,14272515,14367.289066314697
-317,-10,997,0,14297516,14392.37928390503
-317,-10,997,0,14322520,14417.306184768677
-317,-10,997,0,14347527,14442.288160324097
-317,-10,997,0,14372530,14467.412948608398
-317,-10,997,0,14397534,14492.417097091675
-317,-10,997,0,14422537,14517.359256744385
-317,-10,997,0,14447541,14542.415142059326
-317,-10,997,0,14472545,14567.23403930664
-317,-10,997,0,14497548,14592.363119125366
-317,-10,997,0,14522552,14617.27523803711
-317,-10,997,0,14547556,14642.322301864624
-317,-10,997,0,14572559,14667.505264282227
-317,-10,997,0,14597563,14692.29006767273
-317,-10,997,0,14622567,14717.3433303833
-317,-10,997,0,14647570,14742.372035980225
-317,-10,997,0,14672574,14767.326354980469
-317,-10,997,0,14697578,14792.359113693237
-317,-10,997,0,14722581,14817.458152770996
-317,-10,997,0,14747585,14842.35429763794
-317,-10,997,0,14772589,14867.23518371582
-317,-10,997,0,14797593,14892.393350601196
-317,-10,997,0,14822596,14917.403221130371
-317,-10,997,0,14847600,14942.297220230103
-317,-10,997,0,14872603,14967.255115509033
-317,-10,997,0,14897607,14992.439031600952
-317,-10,997,0,14922611,15017.356157302856
-317,-10,997,0,14947612,15042.362213134766
-317,-10,997,0,14972615,15067.41714477539
-317,-10,997,0,14997622,15092.340230941772
-317,-10,997,0,15022625,15117.31505393982
-317,-10,997,0,15047626,15142.393112182617
-317,-10,997,0,15072630,15167.369365692139
-317,-10,997,0,15097637,15192.411184310913
-317,-10,997,0,15122640,15217.421054840088
-317,-10,997,0,15147644,15242.333173751831
-317,-10,997,0,15172647,15267.317056655884
-317,-10,997,0,15197651,15292.441129684448
-317,-10,997,0,15222655,15317.339181900024
-317,-10,997,0,15247658,15342.365264892578
-317,-10,997,0,15272662,15367.281198501587
-317,-10,997,0,15297666,15392.42696762085
-317,-10,997,0,15322669,15417.28925704956
-317,-10,997,0,15347673,15442.32702255249
-317,-10,997,0,15372677,15467.290163040161
-317,-10,997,0,15397680,15492.383241653442
-317,-10,997,0,15422684,15517.367124557495
-317,-10,997,0,15447688,15542.356252670288
-317,-10,997,0,15472691,15567.429065704346
-317,-10,997,0,15497695,15592.387199401855
-317,-10,997,0,15522699,15617.234230041504
-317,-10,997,0,15547700,15642.34209060669
-317,-10,997,0,15572704,15667.330026626587
-317,-10,997,0,15597711,15692.349195480347
-317,-10,997,0,15622714,15717.24534034729
-317,-10,997,0,15647722,15742.270946502686
-317,-10,997,0,15672725,15767.345190048218
-317,-10,997,0,15697732,15792.400121688843
-317,-10,997,0,15722735,15817.301988601685
-317,-10,997,0,15747739,15842.382192611694
-317,-10,997,0,15772743,15867.337942123413
-317,-10,997,0,15797747,15892.547130584717
-317,-10,997,0,15822750,15917.385339736938
-317,-10,997,0,15847758,15942.391157150269
-317,-10,997,0,15872762,15967.421293258667
-317,-10,997,0,15897769,15992.354154586792
-317,-10,997,0,15922773,16017.385244369507
-317,-10,997,0,15947780,16042.304992675781
-317,-10,997,0,15972784,16067.387104034424
-317,-10,997,0,15997791,16092.367172241211
-317,-10,997,0,16022796,16117.35224723816
-317,-10,997,0,16047805,16142.400026321411
