time,theta,x_pivot,time_seconds,filtered_theta
1559,435,0.0,1.559,436.57647452382383
1568,435,0.0,1.568,435.6021596857024
1576,271,0.0,1.576,333.87243037830063
1583,271,0.0,1.583,295.01513144919943
1590,271,0.0,1.59,280.17296396929765
1598,-226,0.0,1.598,-32.659131950004166
1605,-226,0.0,1.605,-152.15035981931018
1612,-226,0.0,1.612,-197.7919475079264
1621,-226,0.0,1.621,-215.22548270446907
1629,-250,0.0,1.629,-236.71731633547824
1636,-250,0.0,1.636,-244.9264663019657
1644,-250,0.0,1.644,-248.06208257041885
1652,-495,0.0,1.652,-400.67810865301504
1660,-495,0.0,1.66,-458.97224338862634
1669,-495,0.0,1.669,-481.238621512864
1678,-798,0.0,1.678,-677.0079197411837
1687,-798,0.0,1.687,-751.7851377106873
1694,-798,0.0,1.694,-780.3474933908783
1703,-487,0.0,1.703,-599.0487719607304
1711,-487,0.0,1.711,-529.7988224913129
1719,-487,0.0,1.719,-503.34769551320807
1728,-741,0.0,1.728,-650.2248971907846
1736,-741,0.0,1.736,-706.3269960591458
1744,-741,0.0,1.744,-727.7560909866528
1753,-1136,0.0,1.753,-980.0647024570209
1761,-1136,0.0,1.761,-1076.4380163844098
1769,-1136,0.0,1.769,-1113.249346696209
1777,-1136,0.0,1.777,-1127.310023704217
1785,1038,0.0,1.785,210.9251671258296
1792,1038,0.0,1.792,722.0855250817058
1800,1038,0.0,1.8,917.3314081192877
1808,-1076,0.0,1.808,-314.6151529411202
1816,-1076,0.0,1.816,-785.1768669426483
1824,-1076,0.0,1.824,-964.9154478868247
1832,-1142,0.0,1.832,-1074.359719975319
1838,-1142,0.0,1.838,-1116.1637120391324
1845,-1142,0.0,1.845,-1132.1314161420783
1854,-1142,0.0,1.854,-1138.2305363871023
1863,-1079,0.0,1.863,-1101.6240517279857
1871,-1079,0.0,1.871,-1087.6416187968548
1878,-1079,0.0,1.878,-1082.3008046625785
1888,-1119,0.0,1.888,-1104.9821547408767
1895,-1119,0.0,1.895,-1113.6456595600514
1902,-1119,0.0,1.902,-1116.9548239392777
1910,-1026,0.0,1.91,-1060.7416513040414
1919,-1026,0.0,1.919,-1039.2701299728467
1927,-1026,0.0,1.927,-1031.0687386144987
1934,-1026,0.0,1.934,-1027.9360858706495
1943,1153,0.0,1.943,319.95654248857113
1952,1153,0.0,1.952,834.805713336363
1959,1153,0.0,1.959,1031.4605975205181
1969,1069,0.0,1.969,1054.6612241702
1977,1069,0.0,1.977,1063.5230749900818
1987,-980,0.0,1.987,-199.44364214848883
1994,-980,0.0,1.994,-681.8540014355485
2002,-980,0.0,2.002,-866.1183621581569
2010,-980,0.0,2.01,-936.5010850389222
2019,-995,0.0,2.019,-972.655402789858
2027,-995,0.0,2.027,-986.4651233306519
2034,-995,0.0,2.034,-991.7399672020975
2043,-847,0.0,2.043,-902.2857479406563
2052,-847,0.0,2.052,-868.1172766198712
2059,-847,0.0,2.059,-855.0660819189573
2068,-763,0.0,2.068,-798.1661140820096
2076,-763,0.0,2.076,-776.4322603270714
2084,-763,0.0,2.084,-768.1306668992045
2092,-418,0.0,2.092,-551.7380142518284
2100,-418,0.0,2.1,-469.0833758562806
