xAccl,yAccl,zAccl,encoder
113,-48,1004,0,
-54,-18,997,0,
-111,-10,1013,0,
-131,15,1008,0,
-207,5,984,0,
-281,9,993,0,
-371,34,979,0,
-363,33,967,0,
-370,25,947,0,
-415,33,937,0,
-422,38,939,0,
-420,40,953,0,
-388,41,953,0,
-386,25,947,0,
-338,24,963,0,
-308,28,978,0,
-254,22,980,0,
-128,-1,992,0,
-135,9,1020,0,
-83,7,988,0,
-3,-6,1039,0,
32,-10,1024,0,
102,-19,994,0,
176,-40,985,0,
252,-25,982,0,
299,-43,956,0,
296,-71,948,0,
340,-55,949,0,
373,-54,940,0,
387,-56,931,0,
378,-50,930,0,
374,-51,951,0,
360,-60,934,0,
315,-48,946,0,
297,-44,973,0,
260,-49,972,0,
210,-35,976,0,
167,-56,990,0,
40,10,999,0,
57,-37,1015,0,
-6,-5,1000,0,
-130,15,1002,0,
-111,7,992,0,
-266,31,991,0,
-324,24,974,0,
-385,63,993,0,
-328,22,972,0,
-354,24,954,0,
-371,31,955,0,
-362,25,954,0,
-424,39,954,0,
-359,34,966,0,
-309,19,971,0,
-299,35,968,0,
-226,15,978,0,
-326,3,975,0,
-162,24,1004,0,
-103,20,1030,0,
-15,-8,1015,0,
7,-9,994,0,
33,-37,990,0,
152,-21,1008,0,
204,-24,1007,0,
229,-40,974,0,
242,-44,964,0,
309,-52,973,0,
304,-45,963,0,
329,-48,956,0,
333,-46,955,0,
321,-48,955,0,
348,-51,964,0,
317,-52,959,0,
274,-51,963,0,
243,-49,973,0,
203,-45,979,0,
155,-40,988,0,
76,-25,990,0,
58,-29,1008,0,
-53,5,1022,0,
-96,14,1029,0,
-97,1,998,0,
-174,11,993,0,
-213,19,992,0,
-113,-39,951,0,
-334,51,995,0,
-305,22,972,0,
-323,23,971,0,
-327,27,971,0,
-317,30,968,0,
-322,27,977,0,
-309,21,982,0,
-281,12,977,0,
-219,11,989,0,
-183,10,991,0,
-127,4,1006,0,
-94,-1,1008,0,
-42,-2,1027,0,
2,-17,1005,0,
6,-20,997,0,
99,-43,992,0,
186,-22,1008,0,
174,-37,985,0,
230,-38,980,0,
244,-36,985,0,
268,-50,977,0,
257,-35,969,0,
285,-43,968,0,
309,-48,968,0,
281,-46,976,0,
244,-24,978,0,
234,-42,983,0,
231,-49,981,0,
161,-35,994,0,
132,-37,999,0,
69,-19,1011,0,
56,-20,1010,0,
11,-30,999,0,
-28,-13,1006,0,
-40,-31,985,0,
-131,17,998,0,
-165,8,999,0,
-174,22,989,0,
-260,28,1006,0,
-306,33,1006,0,
-286,22,983,0,
-264,14,981,0,
-271,20,980,0,
-308,18,995,0,
-265,14,984,0,
-239,6,979,0,
-203,20,998,0,
-171,3,997,0,
-118,12,1009,0,
-92,-2,1014,0,
-52,-3,1010,0,
15,-13,1001,0,
14,-8,1008,0,
67,-10,1027,0,
63,-22,1038,0,
120,-31,990,0,
175,-24,1003,0,
224,-36,989,0,
230,-28,979,0,
256,-41,979,0,
247,-40,979,0,
236,-33,979,0,
242,-38,981,0,
231,-61,980,0,
180,-32,984,0,
180,-39,986,0,
126,-28,1003,0,
98,-26,1010,0,
70,-29,1004,0,
25,-26,1001,0,
-33,1,1028,0,
-89,-20,1003,0,
-96,-2,1004,0,
-102,-4,1008,0,
-151,7,1003,0,
-173,0,1001,0,
-212,-2,989,0,
-220,12,995,0,
-239,19,987,0,
-227,7,990,0,
-221,15,994,0,
-223,11,982,0,
-203,3,972,0,
-195,17,1000,0,
-169,15,999,0,
-146,4,1004,0,
-108,11,1025,0,
-95,-11,1010,0,
-64,-4,1010,0,
-72,-19,1014,0,
28,1,1006,0,
82,-26,999,0,
49,-20,1005,0,
115,-16,1014,0,
136,-32,997,0,
164,-21,1004,0,
183,-35,996,0,
193,-35,989,0,
199,-33,991,0,
186,-38,988,0,
182,-42,998,0,
139,-39,999,0,
145,-34,995,0,
106,-24,992,0,
112,-42,1002,0,
73,-26,1001,0,
65,-26,1008,0,
10,-7,1015,0,
-14,-10,1022,0,
-47,0,1023,0,
-96,-10,1018,0,
-97,10,1027,0,
-246,16,1040,0,
-170,11,1008,0,
-141,-10,994,0,
-182,11,1007,0,
-189,5,996,0,
-197,4,998,0,
-186,5,1001,0,
-281,-2,970,0,
-60,32,1012,0,
-170,2,1007,0,
-133,4,1000,0,
-111,4,1008,0,
-90,-2,1007,0,
-49,-12,1012,0,
-37,-19,1006,0,
12,-11,1012,0,
49,-22,1002,0,
151,-22,1008,0,
89,-18,1013,0,
60,-24,988,0,
116,-18,997,0,
138,-17,1009,0,
145,-41,979,0,
149,-27,1004,0,
155,-31,1009,0,
140,-28,998,0,
146,-33,1003,0,
141,-38,984,0,
115,-20,1007,0,
115,-33,1005,0,
50,-15,1010,0,
67,-32,1000,0,
38,-24,1001,0,
-11,-13,1016,0,
-30,3,1007,0,
-58,1,1027,0,
-13,-19,1009,0,
-62,13,1034,0,
-122,4,1012,0,
-125,4,1011,0,
-130,7,1010,0,
-144,0,1009,0,
-147,-3,1006,0,
-147,3,997,0,
-147,6,1008,0,
-136,-3,1017,0,
-134,0,994,0,
-114,-7,1009,0,
-101,-3,1019,0,
-83,3,1001,0,
-70,-13,1011,0,
-51,-19,1011,0,
-23,-12,1012,0,
9,-14,1017,0,
45,-12,1012,0,
53,-23,1009,0,
66,-22,1005,0,
69,-25,1011,0,
85,-21,1008,0,
97,-25,1007,0,
101,-24,1007,0,
102,-27,1000,0,
99,-25,1004,0,
101,-21,1001,0,
161,-27,1003,0,
76,-23,1001,0,
66,-26,1007,0,
57,-28,1007,0,
39,-22,1008,0,
24,-24,1010,0,
4,-19,1021,0,
-13,-10,1010,0,
-32,-1,1021,0,
-55,-5,1026,0,
-51,-6,1017,0,
-69,-5,1015,0,
-104,3,1024,0,
-101,-11,1008,0,
-98,-4,1007,0,
-106,-7,1007,0,
-109,-6,1012,0,
-76,-10,1007,0,
-90,1,1014,0,
-103,-9,1021,0,
-78,1,1020,0,
-75,2,1017,0,
-61,0,1025,0,
-48,-6,1025,0,
-34,-13,1007,0,
-21,-13,1011,0,
3,-17,1002,0,
26,-13,1012,0,
39,-23,1012,0,
41,-7,1009,0,
47,-18,1011,0,
54,-19,1006,0,
60,-16,1004,0,
68,-23,1014,0,
67,-21,1002,0,
70,-24,1007,0,
63,-23,1008,0,
67,-25,1012,0,
51,-25,1006,0,
44,-15,1016,0,
46,-27,963,0,
16,-39,1028,0,
-2,-7,988,0,
-13,-10,1031,0,
7,-23,1004,0,
-17,-12,995,0,
-42,-14,1034,0,
-41,-9,1005,0,
-55,-3,1028,0,
-51,-13,1016,0,
-65,-2,1008,0,
-73,-13,1017,0,
-75,-5,1009,0,
-70,-9,999,0,
-77,-7,1019,0,
-73,-3,1007,0,
-71,-2,1016,0,
-53,-8,1000,0,
-53,2,1020,0,
-43,-5,1016,0,
-33,-8,1013,0,
-23,-9,1009,0,
-16,-16,1014,0,
-2,-13,1007,0,
-2,-11,1009,0,
12,-16,1010,0,
23,-17,1017,0,
26,-13,1015,0,
23,-18,1019,0,
33,-21,1018,0,
38,-20,1008,0,
37,-15,1008,0,
29,-15,1018,0,
32,-18,1014,0,
37,-20,1015,0,
22,-9,1017,0,
23,-21,1023,0,
23,-20,1018,0,
14,-21,1006,0,
4,-22,1011,0,
-4,-14,1009,0,
-14,-16,1022,0,
-21,-15,1012,0,
-29,-15,1014,0,
-28,-18,1019,0,
-34,-9,1011,0,
-42,-9,1020,0,
-40,-10,1020,0,
-41,-13,1012,0,
-46,-12,1007,0,
-42,-13,1013,0,
-40,-16,1019,0,
-32,-11,1017,0,
-30,-11,1016,0,
-47,-15,1009,0,
-25,-16,1009,0,
-24,-15,1015,0,
-15,-16,1016,0,
-13,-11,1020,0,
-10,-13,1014,0,
0,-15,1021,0,
-3,-17,1009,0,
-1,-19,1011,0,
6,-13,1021,0,
11,-16,1013,0,
12,-16,1019,0,
12,-14,1010,0,
7,-17,1016,0,
8,-17,1016,0,
11,-13,1011,0,
4,-19,1014,0,
-2,-12,1014,0,
15,-18,1017,0,
-5,-14,1023,0,
-8,-20,1009,0,
-6,-20,1015,0,
-11,-18,1012,0,
-11,-17,1017,0,
-16,-15,1017,0,
-17,-14,1009,0,
-18,-16,1011,0,
-19,-18,1012,0,
-17,-14,1012,0,
-14,-9,1016,0,
-18,-15,1011,0,
-15,-14,1017,0,
-15,-13,1015,0,
-12,-13,1008,0,
-10,-17,1010,0,
-13,-14,1008,0,
-12,-7,1026,0,
-6,-10,1020,0,
-10,-6,1008,0,
-5,-16,1010,0,
-4,-14,1008,0,
-4,-13,1018,0,
-3,-15,1013,0,
-4,-16,1019,0,
-11,-16,1008,0,
-13,-17,1010,0,
-7,-14,1009,0,
-12,-17,1012,0,
-7,-19,1012,0,
-10,-21,1017,0,
-10,-20,1014,0,
-11,-13,1014,0,
-16,-10,1012,0,
-16,-17,1015,0,
-16,-16,1013,0,
-11,-14,1009,0,
-14,-17,1019,0,
-18,-18,1009,0,
-17,-16,1019,0,
-15,-16,1014,0,
-13,-14,1015,0,
-16,-14,1023,0,
-14,-14,1012,0,
-8,-17,1014,0,
-6,-16,1013,0,
-10,-15,1016,0,
-11,-9,1013,0,
-7,-12,1019,0,
-3,-13,1013,0,
-4,-13,1016,0,
-5,-14,1014,0,
-6,-11,1017,0,
-5,-13,1019,0,
-6,-20,1017,0,
-9,-17,1022,0,
-8,-15,1013,0,
-10,-15,1021,0,
-4,-13,1010,0,
-11,-16,1015,0,
-14,-16,1015,0,
-13,-14,1015,0,
-14,-15,1023,0,
-17,-12,1017,0,
-16,-17,1019,0,
-20,-16,1019,0,
-15,-16,1013,0,
-14,-17,1019,0,
-14,-14,1006,0,
-14,-15,1011,0,
-12,-15,1007,0,
-13,-14,1015,0,
-15,-15,1016,0,
-12,-20,1013,0,
-8,-16,1010,0,
-13,-11,1012,0,
-10,-14,1019,0,
-9,-13,1017,0,
-6,-14,1021,0,
-8,-15,1011,0,
-11,-15,1013,0,
-7,-9,1013,0,
-8,-14,1009,0,
-8,-15,1023,0,
-7,-16,1018,0,
-9,-11,1019,0,
-10,-13,1020,0,
-11,-14,1015,0,
-14,-15,1019,0,
-9,-13,1019,0,
-18,-14,1014,0,
-15,-14,1008,0,
-13,-13,1016,0,
-17,-14,1009,0,
-13,-16,1011,0,
-18,-16,1019,0,
-11,-15,1017,0,
-13,-17,1023,0,
-14,-15,1011,0,
-12,-14,1013,0,
-13,-15,1014,0,
-14,-14,1006,0,
-14,-14,1012,0,
-6,-14,1014,0,
-8,-13,1011,0,
-9,-12,1010,0,
-11,-19,1017,0,
-9,-16,1014,0,
-4,-12,1007,0,
-3,-13,1025,0,
-9,-13,1009,0,
-2,-9,1020,0,
-5,-15,1019,0,
-7,-17,1019,0,
